,list,ratings
0,Captain America: The First Avenger,"<div class=""inline-block ratings-imdb-rating"" data-value=""6.9"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>6.9marvels[""ratings""]=marvels[""ratings""].str.strip('<div class=""inline-block ratings-imdb-rating"" data-value=""6.9"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>'z"
1,Iron Man,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.9"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.9</strong> </div>"
2,The Incredible Hulk,"<div class=""inline-block ratings-imdb-rating"" data-value=""6.6"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>6.6</strong> </div>"
3,Iron Man 2,"<div class=""inline-block ratings-imdb-rating"" data-value=""6.9"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>6.9</strong> </div>"
4,Thor,"<div class=""inline-block ratings-imdb-rating"" data-value=""7"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.0</strong> </div>"
5,The Avengers,"<div class=""inline-block ratings-imdb-rating"" data-value=""8"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>8.0</strong> </div>"
6,Iron Man Three,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.1"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.1</strong> </div>"
7,Thor: The Dark World,"<div class=""inline-block ratings-imdb-rating"" data-value=""6.8"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>6.8</strong> </div>"
8,Captain America: The Winter Soldier,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.8"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.8</strong> </div>"
9,Guardians of the Galaxy,"<div class=""inline-block ratings-imdb-rating"" data-value=""8"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>8.0</strong> </div>"
10,Guardians of the Galaxy Vol. 2,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.6"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.6</strong> </div>"
11,Avengers: Age of Ultron,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.3"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.3</strong> </div>"
12,Ant-Man,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.3"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.3</strong> </div>"
13,Captain America: Civil War,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.8"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.8</strong> </div>"
14,Spider-Man: Homecoming,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.4"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.4</strong> </div>"
15,Doctor Strange,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.5"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.5</strong> </div>"
16,Thor: Ragnarok,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.9"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.9</strong> </div>"
17,Black Panther,"<div class=""inline-block ratings-imdb-rating"" data-value=""7.3"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.3</strong> </div>"
18,Avengers: Infinity War,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.4"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>8.4</strong> </div>"
19,Ant-Man and the Wasp,"<div class=""inline-block ratings-imdb-rating"" data-value=""7"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>7.0</strong> </div>"
20,Captain Marvel,"<div class=""inline-block ratings-imdb-rating"" data-value=""6.8"" name=""ir""> <span class=""global-sprite rating-star imdb-rating""></span> <strong>6.8</strong> </div>"
